虎, 2 
馆, 1 
长干里, 1 
手持, 3 
随转烛, 1 
剡溪, 1 
涓埃, 1 
请奏, 1 
凤凰, 2 
扫花开, 1 
相看, 1 
云端, 2 
夜弹, 1 
015, 1 
三千里, 2 
王宫, 1 
涂改, 1 
天半起, 1 
坠楼, 1 
隔叶, 1 
气接, 1 
蛾眉, 1 
元因, 1 
日日, 1 
深浅, 2 
东门, 2 
235, 1 
蝼蚁, 1 
声以, 1 
郎, 1 
新年, 2 
翻身, 1 
314, 1 
因风, 1 
涤, 1 
之歌止, 1 
教桂叶香, 1 
冻不翻, 1 
动江关, 1 
深知, 1 
征人怨, 1 
疾, 1 
224, 1 
怅卧, 1 
158, 1 
丽人, 1 
倚杖候, 1 
借辩, 1 
满阶红, 1 
悄然, 2 
禅意, 1 
意欲, 1 
共怜, 1 
龙吟虎啸, 1 
崔九, 1 
百泉, 1 
 , 11085 
206, 1 
晚次, 1 
前开, 1 
春泛, 1 
铜雀春深, 1 
笼沙, 1 
芙蓉, 9 
白刃, 1 
扑, 1 
自兹去, 1 
衣裳, 6 
时雪, 1 
四海, 1 
王室, 1 
红豆, 1 
英才, 1 
093, 1 
栀子, 1 
隐隐, 2 
外, 5 
私语, 2 
迫之如火, 1 
横绝, 1 
向东, 1 
一弹, 1 
阙, 4 
空言, 1 
攻, 1 
城北, 2 
偶似, 1 
演漾, 1 
日, 17 
缄札何, 1 
饮归客, 1 
湘, 1 
玉颜, 1 
远山, 1 
珂, 1 
龟兹, 1 
冕旒, 1 
荆蛮, 1 
玉虎, 1 
026, 1 
松声, 1 
俗, 1 
鹿柴, 1 
西江, 1 
松月生, 1 
动远空, 1 
风吹, 4 
雨草, 1 
如麻, 1 
百丈, 1 
莫复闻, 1 
玉京群, 1 
董大弹, 1 
苦无恃, 1 
秋色, 2 
枣花, 1 
发扬, 1 
有人, 2 
疏引, 1 
觉道资, 1 
应节, 1 
旧物, 1 
隋宫, 2 
等闲, 1 
顾影, 1 
鹿门, 3 
闻者, 1 
銮舆, 1 
召伯之甘棠, 1 
酒于, 1 
已昏, 1 
宫粉黛, 1 
复令识者, 1 
自顾, 1 
298, 1 
少孤为, 1 
瑶瑟怨, 1 
薛逢, 1 
舅姑, 1 
教妾, 1 
江寄, 1 
投人, 1 
困苦, 1 
美独往, 1 
动容, 1 
杨花雪落, 1 
腐餐, 1 
金线, 1 
此恨绵绵, 1 
筚篥, 2 
切磋, 1 
歌声, 3 
写真, 1 
伺能, 1 
听, 19 
重, 5 
虽非, 1 
空中, 1 
潭影, 1 
望帝, 1 
烟笼, 2 
三夜, 1 
腰下宝, 1 
发声, 1 
漫叟以, 1 
猿鸣, 1 
向前, 1 
千营, 1 
殷岩泉, 1 
珠袖, 1 
赤壁, 1 
僮仆, 2 
春风, 9 
何当重, 1 
星河, 2 
讲解, 1 
230, 1 
崇, 1 
欲济, 1 
下心, 1 
闺中, 2 
胡琴, 1 
五陵, 2 
潜行, 2 
遭时徽, 1 
邀入, 1 
还家, 2 
018, 1 
风掣, 1 
隔野烟, 1 
但益, 1 
影, 2 
圭, 1 
席裹, 1 
孤烟, 1 
几多, 1 
孤城, 4 
书怀, 1 
血, 1 
微, 2 
飞库, 2 
依山, 1 
旦暮, 2 
稳称, 1 
秋登, 1 
田里, 1 
人情, 1 
三石梁, 1 
动摇, 1 
见, 3 
此言, 1 
乾坤, 1 
逐水, 1 
请君, 2 
春雨, 2 
明珠, 1 
守, 2 
可乐, 1 
挥手, 3 
天上人间, 1 
耶, 1 
无理, 1 
貔, 1 
侍婢, 1 
曲, 8 
春色, 3 
水为, 1 
仙人掌, 1 
夜半, 2 
放歌, 1 
回马, 1 
两三, 1 
积雨, 2 
慎勿, 1 
怨遥夜, 1 
春水, 1 
饮奈明何, 1 
105, 1 
慈母, 1 
离离, 1 
韩干, 1 
不寐, 1 
269, 1 
蓬门, 2 
人归山, 1 
山居, 1 
阖, 2 
蜀道, 3 
何处寻, 3 
堕瓦, 1 
汉下, 1 
加, 2 
女乐, 1 
